province_index,province_id,red,green,blue,local_name,common_name,old_imperial_name,religious_name,enemy_name,region_id,controller,terrain,biome,terrain_feature,primary_resource,road_level,port_level,fort_level,mana_site_level,strategic_value,center_x,center_y,pixel_area,is_seed_frontier
93,PROV_GREYHOOK_055,208,252,63,Greyhook Pass,Greyhook Pass,Outer Record 055,Greyhook Spine Shrine 055,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,95,2817.96,825.91,4404,no
94,PROV_GREYHOOK_056,151,74,172,Ferrum Hold,Ferrum Hold,Outer Record 056,Greyhook Spine Shrine 056,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,76,2094.13,870.06,4063,no
95,PROV_GREYHOOK_057,93,153,25,Gear Gate,Gear Gate,Outer Record 057,Greyhook Spine Shrine 057,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,94,2542.75,865.22,4481,no
96,PROV_GREYHOOK_058,35,231,134,Anvil Mine,Anvil Mine,Outer Record 058,Greyhook Spine Shrine 058,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2592.07,868.43,2611,no
97,PROV_GREYHOOK_059,234,53,243,Stone Door,Stone Door,Outer Record 059,Greyhook Spine Shrine 059,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2638.24,847.93,3283,no
98,PROV_GREYHOOK_060,176,132,96,Deepmark Cut,Deepmark Cut,Outer Record 060,Greyhook Spine Shrine 060,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2691.14,875.16,3753,no
99,PROV_GREYHOOK_061,118,210,205,Kavor Bridge,Kavor Bridge,Outer Record 061,Greyhook Spine Shrine 061,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2755.81,862.22,3262,no
100,PROV_GREYHOOK_062,61,33,58,Vault Forge,Vault Forge,Outer Record 062,Greyhook Spine Shrine 062,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,79,1940.64,909.34,5223,no
101,PROV_GREYHOOK_063,3,111,167,West Vault,West Vault,Outer Record 063,Greyhook Spine Shrine 063,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,87,1993.57,902.64,2745,no
102,PROV_GREYHOOK_064,201,190,20,Den Spur,Den Spur,Outer Record 064,Greyhook Spine Shrine 064,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,89,2037.97,918.04,3271,no
103,PROV_GREYHOOK_065,144,12,129,Greyhook Pass,Greyhook Pass,Outer Record 065,Greyhook Spine Shrine 065,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,89,2104.38,926.59,3402,no
104,PROV_GREYHOOK_066,86,90,238,Ferrum Hold,Ferrum Hold,Outer Record 066,Greyhook Spine Shrine 066,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,2157.36,909.02,3683,no
105,PROV_GREYHOOK_067,28,169,91,Gear Gate,Gear Gate,Outer Record 067,Greyhook Spine Shrine 067,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,89,2224.63,913.37,7782,no
106,PROV_GREYHOOK_068,226,247,200,Anvil Mine,Anvil Mine,Outer Record 068,Greyhook Spine Shrine 068,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,91,2432.99,923.14,2965,no
107,PROV_GREYHOOK_069,169,70,53,Stone Door,Stone Door,Outer Record 069,Greyhook Spine Shrine 069,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,94,2487.73,925.23,3594,no
108,PROV_GREYHOOK_070,111,148,162,Deepmark Cut,Deepmark Cut,Outer Record 070,Greyhook Spine Shrine 070,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,2590.21,912.64,2377,no
109,PROV_GREYHOOK_071,53,227,15,Kavor Bridge,Kavor Bridge,Outer Record 071,Greyhook Spine Shrine 071,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,99,2648.55,919.28,3285,no
110,PROV_GREYHOOK_072,252,49,124,Vault Forge,Vault Forge,Outer Record 072,Greyhook Spine Shrine 072,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2702.34,933.51,3502,no
111,PROV_GREYHOOK_073,194,127,233,West Vault,West Vault,Outer Record 073,Greyhook Spine Shrine 073,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2747.8,925.25,2539,no
112,PROV_GREYHOOK_074,136,206,86,Den Spur,Den Spur,Outer Record 074,Greyhook Spine Shrine 074,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2805.88,893.84,4336,no
113,PROV_GREYHOOK_075,79,28,195,Greyhook Pass,Greyhook Pass,Outer Record 075,Greyhook Spine Shrine 075,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,95,2869.06,907.44,5565,no
114,PROV_GREYHOOK_076,21,107,48,Ferrum Hold,Ferrum Hold,Outer Record 076,Greyhook Spine Shrine 076,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,86,1725.54,970.89,4157,no
115,PROV_GREYHOOK_077,219,185,157,Gear Gate,Gear Gate,Outer Record 077,Greyhook Spine Shrine 077,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,85,2051.33,976.37,3934,no
116,PROV_GREYHOOK_078,162,8,10,Anvil Mine,Anvil Mine,Outer Record 078,Greyhook Spine Shrine 078,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,85,2099.45,994.15,4231,no
117,PROV_GREYHOOK_079,104,86,119,Stone Door,Stone Door,Outer Record 079,Greyhook Spine Shrine 079,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,99,2162.59,992.09,6031,no
118,PROV_GREYHOOK_080,46,164,228,Deepmark Cut,Deepmark Cut,Outer Record 080,Greyhook Spine Shrine 080,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,2430.87,979.12,3496,no
119,PROV_GREYHOOK_081,244,243,81,Kavor Bridge,Kavor Bridge,Outer Record 081,Greyhook Spine Shrine 081,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2762.7,970.46,3034,no
120,PROV_GREYHOOK_082,187,65,190,Vault Forge,Vault Forge,Outer Record 082,Greyhook Spine Shrine 082,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2817.23,959.09,3252,no
121,PROV_GREYHOOK_083,129,144,43,West Vault,West Vault,Outer Record 083,Greyhook Spine Shrine 083,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2867.14,990.8,4293,no
122,PROV_GREYHOOK_084,71,222,152,Den Spur,Den Spur,Outer Record 084,Greyhook Spine Shrine 084,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,2932.35,941.56,5617,no
123,PROV_GREYHOOK_085,14,45,5,Greyhook Pass,Greyhook Pass,Outer Record 085,Greyhook Spine Shrine 085,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,97,2992.38,942.72,4819,no
124,PROV_GREYHOOK_086,212,123,114,Ferrum Hold,Ferrum Hold,Outer Record 086,Greyhook Spine Shrine 086,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,98,3039.77,961.33,4430,no
125,PROV_GREYHOOK_087,154,201,223,Gear Gate,Gear Gate,Outer Record 087,Greyhook Spine Shrine 087,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,89,1685.78,1019.92,4943,no
126,PROV_GREYHOOK_088,97,24,76,Anvil Mine,Anvil Mine,Outer Record 088,Greyhook Spine Shrine 088,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,1762.36,1031.88,3202,no
127,PROV_GREYHOOK_089,39,102,185,Stone Door,Stone Door,Outer Record 089,Greyhook Spine Shrine 089,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,84,1813.92,1038.73,2854,no
128,PROV_GREYHOOK_090,237,181,38,Deepmark Cut,Deepmark Cut,Outer Record 090,Greyhook Spine Shrine 090,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,93,2908.64,1020.23,3745,no
129,PROV_GREYHOOK_091,180,3,147,Kavor Bridge,Kavor Bridge,Outer Record 091,Greyhook Spine Shrine 091,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,85,3031.04,1037.61,6666,no
130,PROV_GREYHOOK_092,122,82,0,Vault Forge,Vault Forge,Outer Record 092,Greyhook Spine Shrine 092,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,93,1778.81,1079.14,2231,no
131,PROV_GREYHOOK_093,64,160,109,West Vault,West Vault,Outer Record 093,Greyhook Spine Shrine 093,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,1840.11,1086.16,2488,no
132,PROV_GREYHOOK_094,6,238,218,Den Spur,Den Spur,Outer Record 094,Greyhook Spine Shrine 094,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,77,1902.71,1080.36,3815,no
133,PROV_GREYHOOK_095,205,61,71,Greyhook Pass,Greyhook Pass,Outer Record 095,Greyhook Spine Shrine 095,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,71,1765.07,1135.99,4082,no
134,PROV_GREYHOOK_096,147,139,180,Ferrum Hold,Ferrum Hold,Outer Record 096,Greyhook Spine Shrine 096,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,84,1812.04,1141.57,3371,no
135,PROV_GREYHOOK_097,89,218,33,Gear Gate,Gear Gate,Outer Record 097,Greyhook Spine Shrine 097,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,1864.99,1143.42,4838,no
136,PROV_GREYHOOK_098,32,40,142,Anvil Mine,Anvil Mine,Outer Record 098,Greyhook Spine Shrine 098,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,89,1928.01,1140.05,3886,no
137,PROV_GREYHOOK_099,230,118,251,Stone Door,Stone Door,Outer Record 099,Greyhook Spine Shrine 099,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,78,1995.14,1140.84,2700,no
138,PROV_GREYHOOK_100,172,197,104,Deepmark Cut,Deepmark Cut,Outer Record 100,Greyhook Spine Shrine 100,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,74,2093.42,1142.01,3695,no
139,PROV_GREYHOOK_101,115,19,213,Kavor Bridge,Kavor Bridge,Outer Record 101,Greyhook Spine Shrine 101,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,71,2206.02,1122.84,7096,no
140,PROV_GREYHOOK_102,57,98,66,Vault Forge,Vault Forge,Outer Record 102,Greyhook Spine Shrine 102,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,92,2755.04,1141.35,7489,no
141,PROV_GREYHOOK_103,255,176,175,West Vault,West Vault,Outer Record 103,Greyhook Spine Shrine 103,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,1475.88,1149.53,5747,no
142,PROV_GREYHOOK_104,197,255,28,Den Spur,Den Spur,Outer Record 104,Greyhook Spine Shrine 104,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,1552.75,1206.15,4522,no
143,PROV_GREYHOOK_105,140,77,137,Greyhook Pass,Greyhook Pass,Outer Record 105,Greyhook Spine Shrine 105,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,88,1929.08,1201.5,4353,no
144,PROV_GREYHOOK_106,82,155,246,Ferrum Hold,Ferrum Hold,Outer Record 106,Greyhook Spine Shrine 106,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,1976.55,1192.86,2526,no
145,PROV_GREYHOOK_107,24,234,99,Gear Gate,Gear Gate,Outer Record 107,Greyhook Spine Shrine 107,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,86,2041.38,1174.02,2966,no
146,PROV_GREYHOOK_108,223,56,208,Anvil Mine,Anvil Mine,Outer Record 108,Greyhook Spine Shrine 108,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,73,2083.68,1201.47,2172,no
147,PROV_GREYHOOK_109,165,135,61,Stone Door,Stone Door,Outer Record 109,Greyhook Spine Shrine 109,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,76,2133.22,1170.44,2587,no
148,PROV_GREYHOOK_110,107,213,170,Deepmark Cut,Deepmark Cut,Outer Record 110,Greyhook Spine Shrine 110,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,86,1474.43,1263.81,6276,no
149,PROV_GREYHOOK_111,50,36,23,Kavor Bridge,Kavor Bridge,Outer Record 111,Greyhook Spine Shrine 111,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,99,1541.57,1259.8,3156,no
150,PROV_GREYHOOK_112,248,114,132,Vault Forge,Vault Forge,Outer Record 112,Greyhook Spine Shrine 112,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,92,1543.49,1312.81,4867,no
151,PROV_GREYHOOK_113,190,192,241,West Vault,West Vault,Outer Record 113,Greyhook Spine Shrine 113,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,99,1611.72,1291.4,2865,no
152,PROV_GREYHOOK_114,133,15,94,Den Spur,Den Spur,Outer Record 114,Greyhook Spine Shrine 114,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,90,1665.52,1287.9,3156,no
153,PROV_GREYHOOK_115,75,93,203,Greyhook Pass,Greyhook Pass,Outer Record 115,Greyhook Spine Shrine 115,Greyhook Pass Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,78,1729.9,1288.79,4758,no
154,PROV_GREYHOOK_116,17,172,56,Ferrum Hold,Ferrum Hold,Outer Record 116,Greyhook Spine Shrine 116,Ferrum Hold Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,93,1585.73,1352.31,4947,no
155,PROV_GREYHOOK_117,215,250,165,Gear Gate,Gear Gate,Outer Record 117,Greyhook Spine Shrine 117,Gear Gate Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,1656.09,1355.83,4094,no
156,PROV_GREYHOOK_118,158,73,18,Anvil Mine,Anvil Mine,Outer Record 118,Greyhook Spine Shrine 118,Anvil Mine Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,1714.95,1345.33,3510,no
157,PROV_GREYHOOK_119,100,151,127,Stone Door,Stone Door,Outer Record 119,Greyhook Spine Shrine 119,Stone Door Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,93,1761.77,1362.78,4872,no
158,PROV_GREYHOOK_120,42,229,236,Deepmark Cut,Deepmark Cut,Outer Record 120,Greyhook Spine Shrine 120,Deepmark Cut Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,84,1814.71,1334.51,4986,no
159,PROV_GREYHOOK_121,241,52,89,Kavor Bridge,Kavor Bridge,Outer Record 121,Greyhook Spine Shrine 121,Kavor Bridge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mine_hills,mountain,mine_hills,IRON,2,0,3,0,77,1862.79,1340.15,4039,no
160,PROV_GREYHOOK_122,183,130,198,Vault Forge,Vault Forge,Outer Record 122,Greyhook Spine Shrine 122,Vault Forge Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,93,1587.42,1420.51,5083,no
161,PROV_GREYHOOK_123,125,209,51,West Vault,West Vault,Outer Record 123,Greyhook Spine Shrine 123,West Vault Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,0,100,1648.96,1433.8,4803,no
162,PROV_GREYHOOK_124,68,31,160,Den Spur,Den Spur,Outer Record 124,Greyhook Spine Shrine 124,Den Spur Insult-Name,REG_GREYHOOK,FAC_KAVARI_WEST_GEAR,mountain_pass,mountain,mountain_pass,IRON,2,0,4,1,100,1712.77,1427.71,6040,no
163,PROV_CAIRN_MARCH_001,10,110,13,Kaern Hill,Kaern Hill,Outer Record 001,Cairn March Shrine 001,Kaern Hill Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,68,1150.28,95.02,2773,no
164,PROV_CAIRN_MARCH_002,208,188,122,Orven Wake,Orven Wake,Outer Record 002,Cairn March Shrine 002,Orven Wake Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,68,1259.0,89.22,5077,no
165,PROV_CAIRN_MARCH_003,151,10,231,Cairn Fell,Cairn Fell,Outer Record 003,Cairn March Shrine 003,Cairn Fell Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,67,1326.6,77.58,4952,no
166,PROV_CAIRN_MARCH_004,93,89,84,Red Gate,Red Gate,Outer Record 004,Cairn March Shrine 004,Red Gate Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,64,1379.89,84.01,3034,no
167,PROV_CAIRN_MARCH_005,35,167,193,Chain Bog,Chain Bog,Outer Record 005,Cairn March Shrine 005,Chain Bog Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,64,1430.82,66.52,2809,no
168,PROV_CAIRN_MARCH_006,233,246,46,Hearth Cairn,Hearth Cairn,Outer Record 006,Cairn March Shrine 006,Hearth Cairn Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,66,1006.54,143.0,4373,no
169,PROV_CAIRN_MARCH_007,176,68,155,Frost Hearth,Frost Hearth,Outer Record 007,Cairn March Shrine 007,Frost Hearth Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,76,1082.78,134.13,5014,no
170,PROV_CAIRN_MARCH_008,118,147,8,Winter Hold,Winter Hold,Outer Record 008,Cairn March Shrine 008,Winter Hold Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,iron_hills,mountain,iron_hills,IRON,2,0,3,0,81,1135.07,139.41,2220,no
171,PROV_CAIRN_MARCH_009,60,225,117,Bog Mire,Bog Mire,Outer Record 009,Cairn March Shrine 009,Bog Mire Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,1,89,1184.04,142.69,4765,no
172,PROV_CAIRN_MARCH_010,3,47,226,Stonewake Fort,Stonewake Fort,Outer Record 010,Cairn March Shrine 010,Stonewake Fort Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,75,1243.14,151.48,4082,no
173,PROV_CAIRN_MARCH_011,201,126,79,Kaern Hill,Kaern Hill,Outer Record 011,Cairn March Shrine 011,Kaern Hill Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,71,1307.0,158.47,4193,no
174,PROV_CAIRN_MARCH_012,143,204,188,Orven Wake,Orven Wake,Outer Record 012,Cairn March Shrine 012,Orven Wake Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,68,1363.16,157.01,4407,no
175,PROV_CAIRN_MARCH_013,86,27,41,Cairn Fell,Cairn Fell,Outer Record 013,Cairn March Shrine 013,Cairn Fell Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,67,1434.13,138.5,4741,no
176,PROV_CAIRN_MARCH_014,28,105,150,Red Gate,Red Gate,Outer Record 014,Cairn March Shrine 014,Red Gate Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,68,1493.85,140.33,4930,no
177,PROV_CAIRN_MARCH_015,226,184,3,Chain Bog,Chain Bog,Outer Record 015,Cairn March Shrine 015,Chain Bog Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,70,1557.68,143.28,3562,no
178,PROV_CAIRN_MARCH_016,169,6,112,Hearth Cairn,Hearth Cairn,Outer Record 016,Cairn March Shrine 016,Hearth Cairn Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,73,1608.65,141.69,2317,no
179,PROV_CAIRN_MARCH_017,111,84,221,Frost Hearth,Frost Hearth,Outer Record 017,Cairn March Shrine 017,Frost Hearth Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,72,1659.9,152.41,3037,no
180,PROV_CAIRN_MARCH_018,53,163,74,Winter Hold,Winter Hold,Outer Record 018,Cairn March Shrine 018,Winter Hold Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,1,81,1712.13,167.97,2363,no
181,PROV_CAIRN_MARCH_019,251,241,183,Bog Mire,Bog Mire,Outer Record 019,Cairn March Shrine 019,Bog Mire Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,64,1881.01,166.35,1967,no
182,PROV_CAIRN_MARCH_020,194,64,36,Stonewake Fort,Stonewake Fort,Outer Record 020,Cairn March Shrine 020,Stonewake Fort Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,66,55.72,220.67,2851,no
183,PROV_CAIRN_MARCH_021,136,142,145,Kaern Hill,Kaern Hill,Outer Record 021,Cairn March Shrine 021,Kaern Hill Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,70,201.21,215.83,9402,no
184,PROV_CAIRN_MARCH_022,78,220,254,Orven Wake,Orven Wake,Outer Record 022,Cairn March Shrine 022,Orven Wake Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,bog_forest,marsh,bog_forest,IRON,2,0,3,0,69,969.42,213.29,2065,no
185,PROV_CAIRN_MARCH_023,21,43,107,Cairn Fell,Cairn Fell,Outer Record 023,Cairn March Shrine 023,Cairn Fell Insult-Name,REG_CAIRN_MARCH,FAC_KAERN_RED_BOG,iron_hills,mountain,iron_hills,IRON,2,0,3,0,79,1030.44,193.64,3759,no
